date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:58	156434/156434	---M--	200	added ('OK')	image/png	etag:%22edcc85c31065c690dd0c584e71ab8419%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724808833_somer15.png	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724808833_somer15.png	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:46:58	170087/170087	---M--	200	added ('OK')	image/png	etag:%225ae47c26efc61925a31e2ea775c6942a%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724808948_somer16.png	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724808948_somer16.png	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:46:59	36699/36699	---M--	200	added ('OK')	image/jpeg	etag:%229f74853c3acbb09a01d5e5144d3c257f%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809137_somer17.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809137_somer17.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:46:59	41512/41512	---M--	200	added ('OK')	image/jpeg	etag:%2251541e02e721a69dbbdc6ef75e668a8b%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809184_somer18.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809184_somer18.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:46:59	28047/28047	---M--	200	added ('OK')	image/jpeg	etag:%2203215d972b2d7ae14f7ed431bb5ad86e%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809224_somer19.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809224_somer19.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:46:59	33079/33079	---M--	200	added ('OK')	image/jpeg	etag:%2275232eee9878a698369e710d437a4978%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809284_somer20.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809284_somer20.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:46:59	29670/29670	---M--	200	added ('OK')	image/jpeg	etag:%2217fb5f4a218ac532b9b398b0b036ef34%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809349_somer21.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809349_somer21.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:00	27484/27484	---M--	200	added ('OK')	image/jpeg	etag:%22af1549694339f728a28b03c8623789d2%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809387_somer22.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809387_somer22.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:00	47818/47818	---M--	200	added ('OK')	image/jpeg	etag:%22df6bceaefa4ba1f25a7b466dc0704fbf%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809438_somer23.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809438_somer23.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:00	28398/28398	---M--	200	added ('OK')	image/jpeg	etag:%22e8175e87828201c5142f7123b9ad1b14%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809480_somer24.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809480_somer24.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
